feedback_id,alert_id,meter_id,inspector_id,feedback_timestamp,feedback_type,feedback_reason_code,confidence_level,narrative,resolution_date,follow_up_required,follow_up_date
FBK-000001,ALT-001160,BSCM-000003,INS-0005,2024-09-29 10:00:00,true_positive,theft_confirmed,high,Field inspection confirmed theft confirmed. Detector consensus 4/4 and estimated daily loss INR 1955.36.,2024-09-29,False,
FBK-000002,ALT-000043,BSCM-000006,INS-003,2024-04-17 15:00:00,true_positive,meter_slowdown,high,Field inspection confirmed meter slowdown. Detector consensus 4/4 and estimated daily loss INR 148.71.,2024-04-17,False,
FBK-000003,ALT-002906,BSCM-000465,INS-0018,2025-01-04 20:00:00,true_positive,theft_confirmed,high,Field inspection confirmed theft confirmed. Detector consensus 4/4 and estimated daily loss INR 398.02.,2025-01-04,True,2025-02-03
FBK-000004,ALT-000672,BSCM-000059,INS-005,2023-02-14 11:00:00,true_positive,illegal_extension,high,Field inspection confirmed illegal extension. Detector consensus 4/4 and estimated daily loss INR 357.34.,2023-02-14,False,
FBK-000005,ALT-001560,BSCM-000131,INS-0017,2024-01-30 14:00:00,true_positive,theft_confirmed,high,Field inspection confirmed theft confirmed. Detector consensus 4/4 and estimated daily loss INR 3288.40.,2024-01-30,False,
FBK-000006,ALT-001612,BSCM-000395,INS-0019,2024-12-29 09:00:00,true_positive,theft_confirmed,high,Field inspection confirmed theft confirmed. Detector consensus 4/4 and estimated daily loss INR 86.50.,2024-12-29,True,2025-01-28
FBK-000007,ALT-001228,BSCM-000494,INS-0004,2023-11-03 13:00:00,true_positive,illegal_extension,high,Field inspection confirmed illegal extension. Detector consensus 4/4 and estimated daily loss INR 186.43.,2023-11-03,False,
FBK-000008,ALT-001337,BSCM-000126,INS-0005,2024-11-20 01:00:00,true_positive,phase_reversal,high,Field inspection confirmed phase reversal. Detector consensus 4/4 and estimated daily loss INR 483.78.,2024-11-20,False,
FBK-000009,ALT-001932,BSCM-000228,INS-010,2024-04-29 12:00:00,true_positive,meter_slowdown,high,Field inspection confirmed meter slowdown. Detector consensus 4/4 and estimated daily loss INR 2632.72.,2024-04-29,True,2024-05-29
FBK-000010,ALT-000347,BSCM-000231,INS-0007,2023-01-19 11:00:00,true_positive,phase_reversal,high,Field inspection confirmed phase reversal. Detector consensus 4/4 and estimated daily loss INR 342.40.,2023-01-19,False,
FBK-000011,ALT-002757,BSCM-000217,INS-0002,2023-07-05 14:00:00,true_positive,meter_slowdown,high,Field inspection confirmed meter slowdown. Detector consensus 4/4 and estimated daily loss INR 213.60.,2023-07-05,False,
FBK-000012,ALT-001059,BSCM-000215,INS-0020,2024-09-01 03:00:00,true_positive,theft_confirmed,high,Field inspection confirmed theft confirmed. Detector consensus 4/4 and estimated daily loss INR 452.95.,2024-09-01,True,2024-10-01
FBK-000013,ALT-000531,BSCM-000459,INS-0003,2024-03-18 23:00:00,true_positive,theft_confirmed,high,Field inspection confirmed theft confirmed. Detector consensus 4/4 and estimated daily loss INR 137.65.,2024-03-18,False,
FBK-000014,ALT-002752,BSCM-000120,INS-0003,2024-05-27 07:00:00,true_positive,phase_reversal,high,Field inspection confirmed phase reversal. Detector consensus 4/4 and estimated daily loss INR 208.07.,2024-05-27,False,
FBK-000015,ALT-001187,BSCM-000248,INS-016,2023-08-31 22:00:00,true_positive,illegal_extension,high,Field inspection confirmed illegal extension. Detector consensus 4/4 and estimated daily loss INR 497.42.,2023-08-31,True,2023-09-30
FBK-000016,ALT-001152,BSCM-000281,INS-0011,2023-12-15 19:00:00,true_positive,illegal_extension,high,Field inspection confirmed illegal extension. Detector consensus 4/4 and estimated daily loss INR 796.88.,2023-12-15,False,
FBK-000017,ALT-000558,BSCM-000143,INS-0006,2024-11-17 09:00:00,true_positive,phase_reversal,high,Field inspection confirmed phase reversal. Detector consensus 4/4 and estimated daily loss INR 501.74.,2024-11-17,False,
FBK-000018,ALT-003494,BSCM-000481,INS-0009,2023-12-21 05:00:00,true_positive,theft_confirmed,high,Field inspection confirmed theft confirmed. Detector consensus 4/4 and estimated daily loss INR 3637.12.,2023-12-21,True,2024-01-20
FBK-000019,ALT-002589,BSCM-000004,INS-020,2023-02-27 20:00:00,true_positive,phase_reversal,high,Field inspection confirmed phase reversal. Detector consensus 4/4 and estimated daily loss INR 392.02.,2023-02-27,False,
FBK-000020,ALT-001805,BSCM-000017,INS-0014,2024-05-21 01:00:00,true_positive,theft_confirmed,high,Field inspection confirmed theft confirmed. Detector consensus 4/4 and estimated daily loss INR 418.21.,2024-05-21,False,
FBK-000021,ALT-002714,BSCM-000024,INS-022,2024-03-21 12:00:00,true_positive,illegal_extension,high,Field inspection confirmed illegal extension. Detector consensus 4/4 and estimated daily loss INR 422.47.,2024-03-21,True,2024-04-20
FBK-000022,ALT-002591,BSCM-000415,INS-0018,2023-10-06 14:00:00,true_positive,meter_slowdown,high,Field inspection confirmed meter slowdown. Detector consensus 4/4 and estimated daily loss INR 528.38.,2023-10-06,False,
FBK-000023,ALT-000522,BSCM-000472,INS-0010,2024-01-01 13:00:00,true_positive,meter_slowdown,high,Field inspection confirmed meter slowdown. Detector consensus 4/4 and estimated daily loss INR 483.99.,2024-01-01,False,
FBK-000024,ALT-000062,BSCM-000334,INS-0020,2023-05-08 19:00:00,true_positive,theft_confirmed,high,Field inspection confirmed theft confirmed. Detector consensus 4/4 and estimated daily loss INR 93.86.,2023-05-08,True,2023-06-07
FBK-000025,ALT-001939,BSCM-000070,INS-0006,2024-11-08 09:00:00,true_positive,meter_slowdown,high,Field inspection confirmed meter slowdown. Detector consensus 4/4 and estimated daily loss INR 941.52.,2024-11-08,False,
FBK-000026,ALT-000323,BSCM-000300,INS-027,2024-06-07 01:00:00,true_positive,illegal_extension,high,Field inspection confirmed illegal extension. Detector consensus 4/4 and estimated daily loss INR 1147.76.,2024-06-07,False,
FBK-000027,ALT-001911,BSCM-000357,INS-0010,2024-05-22 04:00:00,true_positive,phase_reversal,high,Field inspection confirmed phase reversal. Detector consensus 4/4 and estimated daily loss INR 264.83.,2024-05-22,True,2024-06-21
FBK-000028,ALT-001762,BSCM-000262,INS-0019,2024-04-19 11:00:00,true_positive,meter_slowdown,high,Field inspection confirmed meter slowdown. Detector consensus 4/4 and estimated daily loss INR 714.96.,2024-04-19,False,
FBK-000029,ALT-001691,BSCM-000356,INS-0003,2023-12-03 17:00:00,true_positive,phase_reversal,high,Field inspection confirmed phase reversal. Detector consensus 4/4 and estimated daily loss INR 136.56.,2023-12-03,False,
FBK-000030,ALT-001139,BSCM-000402,INS-0020,2023-04-26 18:00:00,true_positive,theft_confirmed,high,Field inspection confirmed theft confirmed. Detector consensus 4/4 and estimated daily loss INR 181.03.,2023-04-26,True,2023-05-26
FBK-000031,ALT-003248,BSCM-000289,INS-0001,2023-10-01 21:00:00,true_positive,meter_slowdown,high,Field inspection confirmed meter slowdown. Detector consensus 4/4 and estimated daily loss INR 198.34.,2023-10-01,False,
FBK-000032,ALT-002306,BSCM-000256,INS-0005,2023-03-31 05:00:00,true_positive,illegal_extension,high,Field inspection confirmed illegal extension. Detector consensus 4/4 and estimated daily loss INR 158.88.,2023-03-31,False,
FBK-000033,ALT-003193,BSCM-000412,INS-0011,2024-02-23 00:00:00,true_positive,meter_slowdown,high,Field inspection confirmed meter slowdown. Detector consensus 4/4 and estimated daily loss INR 154.51.,2024-02-23,True,2024-03-24
FBK-000034,ALT-002676,BSCM-000055,INS-0011,2024-09-12 05:00:00,true_positive,meter_slowdown,high,Field inspection confirmed meter slowdown. Detector consensus 4/4 and estimated daily loss INR 227.17.,2024-09-12,False,
FBK-000035,ALT-001145,BSCM-000027,INS-0009,2024-05-01 03:00:00,true_positive,illegal_extension,high,Field inspection confirmed illegal extension. Detector consensus 4/4 and estimated daily loss INR 318.51.,2024-05-01,False,
FBK-000036,ALT-000455,BSCM-000370,INS-0003,2023-05-11 00:00:00,true_positive,phase_reversal,high,Field inspection confirmed phase reversal. Detector consensus 4/4 and estimated daily loss INR 475.79.,2023-05-11,True,2023-06-10
FBK-000037,ALT-003207,BSCM-000389,INS-0009,2023-02-12 21:00:00,true_positive,illegal_extension,high,Field inspection confirmed illegal extension. Detector consensus 4/4 and estimated daily loss INR 226.36.,2023-02-12,False,
FBK-000038,ALT-000783,BSCM-000227,INS-0019,2024-03-17 22:00:00,true_positive,theft_confirmed,high,Field inspection confirmed theft confirmed. Detector consensus 4/4 and estimated daily loss INR 221.73.,2024-03-17,False,
FBK-000039,ALT-001994,BSCM-000196,INS-0012,2024-02-21 18:00:00,true_positive,illegal_extension,high,Field inspection confirmed illegal extension. Detector consensus 4/4 and estimated daily loss INR 201.08.,2024-02-21,True,2024-03-22
FBK-000040,ALT-000322,BSCM-000274,INS-041,2024-11-15 17:00:00,true_positive,illegal_extension,high,Field inspection confirmed illegal extension. Detector consensus 4/4 and estimated daily loss INR 253.25.,2024-11-15,False,
FBK-000041,ALT-001021,BSCM-000314,INS-0007,2025-01-05 10:00:00,true_positive,phase_reversal,high,Field inspection confirmed phase reversal. Detector consensus 4/4 and estimated daily loss INR 378.32.,2025-01-05,False,
FBK-000042,ALT-000914,BSCM-000061,INS-0001,2023-11-23 07:00:00,true_positive,theft_confirmed,high,Field inspection confirmed theft confirmed. Detector consensus 4/4 and estimated daily loss INR 233.76.,2023-11-23,True,2023-12-23
FBK-000043,ALT-002096,BSCM-000172,INS-0008,2023-10-23 01:00:00,true_positive,phase_reversal,high,Field inspection confirmed phase reversal. Detector consensus 4/4 and estimated daily loss INR 239.86.,2023-10-23,False,
FBK-000044,ALT-000910,BSCM-000316,INS-0009,2024-08-20 01:00:00,true_positive,illegal_extension,high,Field inspection confirmed illegal extension. Detector consensus 4/4 and estimated daily loss INR 88.70.,2024-08-20,False,
FBK-000045,ALT-000478,BSCM-000479,INS-0012,2023-08-19 01:00:00,true_positive,theft_confirmed,high,Field inspection confirmed theft confirmed. Detector consensus 4/4 and estimated daily loss INR 216.13.,2023-08-19,True,2023-09-18
FBK-000046,ALT-003245,BSCM-000089,INS-0016,2023-02-01 05:00:00,true_positive,meter_slowdown,high,Field inspection confirmed meter slowdown. Detector consensus 4/4 and estimated daily loss INR 502.82.,2023-02-01,False,
FBK-000047,ALT-000569,BSCM-000496,INS-0011,2024-06-02 10:00:00,true_positive,phase_reversal,high,Field inspection confirmed phase reversal. Detector consensus 4/4 and estimated daily loss INR 205.63.,2024-06-02,False,
FBK-000048,ALT-002627,BSCM-000424,INS-0003,2023-09-20 16:00:00,true_positive,meter_slowdown,high,Field inspection confirmed meter slowdown. Detector consensus 4/4 and estimated daily loss INR 163.83.,2023-09-20,True,2023-10-20
FBK-000049,ALT-002738,BSCM-000203,INS-0017,2024-06-30 00:00:00,true_positive,theft_confirmed,high,Field inspection confirmed theft confirmed. Detector consensus 4/4 and estimated daily loss INR 249.37.,2024-06-30,False,
FBK-000050,ALT-001357,BSCM-000105,INS-0017,2023-09-01 12:00:00,true_positive,illegal_extension,high,Field inspection confirmed illegal extension. Detector consensus 4/4 and estimated daily loss INR 293.23.,2023-09-01,False,
FBK-000051,ALT-001412,BSCM-000426,INS-0017,2024-08-31 17:00:00,true_positive,phase_reversal,high,Field inspection confirmed phase reversal. Detector consensus 4/4 and estimated daily loss INR 499.00.,2024-08-31,True,2024-09-30
FBK-000052,ALT-001180,BSCM-000123,INS-0011,2024-04-11 06:00:00,true_positive,meter_slowdown,high,Field inspection confirmed meter slowdown. Detector consensus 4/4 and estimated daily loss INR 201.94.,2024-04-11,False,
FBK-000053,ALT-001134,BSCM-000302,INS-006,2024-08-10 23:00:00,true_positive,theft_confirmed,high,Field inspection confirmed theft confirmed. Detector consensus 4/4 and estimated daily loss INR 255.69.,2024-08-10,False,
FBK-000054,ALT-000973,BSCM-000212,INS-007,2024-12-30 11:00:00,true_positive,theft_confirmed,high,Field inspection confirmed theft confirmed. Detector consensus 4/4 and estimated daily loss INR 396.46.,2024-12-30,True,2025-01-29
FBK-000055,ALT-000772,BSCM-000035,INS-008,2023-08-14 13:00:00,true_positive,meter_slowdown,high,Field inspection confirmed meter slowdown. Detector consensus 4/4 and estimated daily loss INR 343.03.,2023-08-14,False,
FBK-000056,ALT-000105,BSCM-000259,INS-0008,2024-09-29 16:00:00,true_positive,meter_slowdown,high,Field inspection confirmed meter slowdown. Detector consensus 4/4 and estimated daily loss INR 517.44.,2024-09-29,False,
FBK-000057,ALT-002912,BSCM-000200,INS-0014,2023-06-13 06:00:00,true_positive,meter_slowdown,high,Field inspection confirmed meter slowdown. Detector consensus 4/4 and estimated daily loss INR 502.56.,2023-06-13,True,2023-07-13
FBK-000058,ALT-002590,BSCM-000361,INS-0008,2024-06-05 11:00:00,true_positive,phase_reversal,high,Field inspection confirmed phase reversal. Detector consensus 4/4 and estimated daily loss INR 99.06.,2024-06-05,False,
FBK-000059,ALT-000414,BSCM-000271,INS-0016,2023-04-13 01:00:00,true_positive,illegal_extension,high,Field inspection confirmed illegal extension. Detector consensus 4/4 and estimated daily loss INR 537.73.,2023-04-13,False,
FBK-000060,ALT-000287,BSCM-000436,INS-0020,2024-03-04 00:00:00,true_positive,theft_confirmed,high,Field inspection confirmed theft confirmed. Detector consensus 4/4 and estimated daily loss INR 3874.80.,2024-03-04,True,2024-04-03
FBK-000061,ALT-000246,BSCM-000060,INS-0011,2023-07-07 06:00:00,true_positive,theft_confirmed,high,Field inspection confirmed theft confirmed. Detector consensus 4/4 and estimated daily loss INR 377.08.,2023-07-07,False,
FBK-000062,ALT-003214,BSCM-000137,INS-0017,2024-07-18 14:00:00,true_positive,meter_slowdown,high,Field inspection confirmed meter slowdown. Detector consensus 4/4 and estimated daily loss INR 196.45.,2024-07-18,False,
FBK-000063,ALT-002063,BSCM-000120,INS-0015,2023-12-30 19:00:00,true_positive,theft_confirmed,high,Field inspection confirmed theft confirmed. Detector consensus 4/4 and estimated daily loss INR 327.99.,2023-12-30,True,2024-01-29
FBK-000064,ALT-003112,BSCM-000187,INS-0007,2024-11-09 22:00:00,true_positive,meter_slowdown,high,Field inspection confirmed meter slowdown. Detector consensus 4/4 and estimated daily loss INR 243.32.,2024-11-09,False,
FBK-000065,ALT-000012,BSCM-000107,INS-0013,2023-01-07 04:00:00,true_positive,phase_reversal,high,Field inspection confirmed phase reversal. Detector consensus 4/4 and estimated daily loss INR 148.75.,2023-01-07,False,
FBK-000066,ALT-002694,BSCM-000102,INS-0020,2024-11-07 05:00:00,true_positive,phase_reversal,high,Field inspection confirmed phase reversal. Detector consensus 4/4 and estimated daily loss INR 533.28.,2024-11-07,True,2024-12-07
FBK-000067,ALT-001802,BSCM-000221,INS-0006,2024-02-28 08:00:00,true_positive,meter_slowdown,high,Field inspection confirmed meter slowdown. Detector consensus 4/4 and estimated daily loss INR 498.48.,2024-02-28,False,
FBK-000068,ALT-000252,BSCM-000035,INS-0006,2024-04-07 00:00:00,true_positive,illegal_extension,high,Field inspection confirmed illegal extension. Detector consensus 4/4 and estimated daily loss INR 332.03.,2024-04-07,False,
